au,ag,cu,zn2,pb
0.71,0.05,40.7,53.08,47.89
0.71,0.06,10.6,51.83,36.6
0.53,0.33,78.68,15.79,56.36
0.08,0.12,68.93,14.07,44.3
0.1,0.3,43.11,94.89,150.7
0.04,0.1,11.41,38.85,50.91
0.69,6.12,12.22,85.59,40.19
17,0.06,63.73,61.77,35.51
2.82,0.07,47.65,66.31,34.08
0.71,0.06,9.36,33.22,40.02
3.57,0.07,13.61,87.06,36.63
0.7,0.06,37.38,53.56,46.15
0.69,0.01,45.96,30.76,40.02
0.7,0.21,39.94,22.43,34.01
0.12,0.08,78.68,80.09,45.88
0.7,0.01,14.17,46.9,39.98
0.01,0.04,79.07,40.28,33.84
0.01,0.01,7.93,21.7,53.2
0.01,0.01,4.06,21.34,58.19
0.7,0.06,127.73,43.73,47.24
0.07,,,,
1,,,,99
